name,index
FLIP1,1091
SNUT1,1092
CD304,1093
PFD5,1094
CD53,1095
COX18,1096
PPGB,1097
RM24,1098
NAGK,1099
VWF,1100
NRF1,1101
STRAP,1102
BC102,1103
PADI3,1104
UB2J1,1105
DEND3,1106
FOSB,1107
TPPC5,1108
MIRO1,1109
PP38,1110
EPHB2,1111
AGK,1112
NDUF4,1113
SIR6,1114
CKS1,1115
PIDD1,1116
SIA7A,1117
HBA,1118
MGST2,1119
CC192,1120
RL30,1121
IL.2,1122
LRRC7,1123
M2OM,1124
GDPD4,1125
CHSS1,1126
PNCB,1127
CD158A.H,1128
FA20C,1129
ZN543,1130
CYBP,1131
AAAS,1132
RS29,1133
CD270,1134
COX2,1135
TMM94,1136
AGFG1,1137
G3BP1,1138
CD218A,1139
OGDH,1140
BCAR3,1141
ARL3,1142
F117B,1143
I2BP1,1144
FAF2,1145
AF9,1146
ATIF1,1147
ASNS,1148
FINC,1149
M18BP,1150
TNPO3,1151
RHG15,1152
CPSF3,1153
GAK,1154
MCM8,1155
URP2,1156
RM43,1157
PAF15,1158
IRPL2,1159
SETD2,1160
VATF,1161
IL.28A,1162
DHE3,1163
S38A1,1164
RAB13,1165
UCRIL,1166
PAR12,1167
RL24,1168
CD49E,1169
GLUD12,1170
TETRAMER.1,1171
GSTK1,1172
RHPN2,1173
MPP10,1174
GATA2,1175
RPAP3,1176
RBMX,1177
LZIC,1178
FER,1179
CAPG,1180
PSPC1,1181
CD209,1182
GFOD2,1183
CUTA,1184
DPM3,1185
AN36C,1186
ILRL2,1187
LIS1,1188
TRM1,1189
RM39,1190
GNPTA,1191
LYAR,1192
PAX5,1193
CAYP1,1194
PTMS,1195
EDF1,1196
ASAP3,1197
TRI29,1198
ZIM3,1199
NU5M,1200
ZN638,1201
AK1C1,1202
CD179B,1203
CMBL,1204
Z354B,1205
ACSA,1206
ACPH,1207
KCNG2,1208
NCF1B,1209
SCRN1,1210
TRIM8,1211
MYO1C,1212
ADCK2,1213
ADNP,1214
SYDC,1215
GGA3,1216
CD115,1217
KS6R,1218
CFA20,1219
SSF1,1220
SAMD9,1221
GRWD1,1222
THIK,1223
NELFD,1224
PAN2,1225
COF1,1226
SETB1,1227
UBA1,1228
ZN436,1229
BIP,1230
LMNA,1231
RPB1B,1232
GRHL1,1233
NEDD1,1234
TRH,1235
PDE4D,1236
DISIALOGANGLIOSIDE.GD2,1237
HNRH1,1238
SFXN3,1239
WDR17,1240
Z585A,1241
CLIP2,1242
FAT4,1243
NB5R3,1244
ASB15,1245
BM2KL,1246
FAS,1247
PLAP,1248
TM1L2,1249
ESYT1,1250
UB2E1,1251
DEMA,1252
RDH16,1253
PI3R5,1254
SNX3,1255
ODPA,1256
APTX,1257
MON2,1258
PARP2,1259
HD,1260
H10,1261
PRP6,1262
P4R3A,1263
